"","logFC","logCPM","LR","PValue"
"Msc",-10.9521623153136,-0.244114226272999,317.906809632228,4.13854830295073e-71
"Gm9947",-10.4932860275916,0.807266480475555,553.226037724435,2.50149440268524e-122
"Kcnb2",-8.11235027444704,5.00308004258722,80.8543612574329,2.42980994612731e-19
"Terf1",-9.01391061123996,3.25573886833553,1472.962009459,2.91498731046335e-322
"Sbspon",-11.0055558589276,0.0526446426939771,446.033959799577,5.2631297301698e-99
"Rpl7",-7.15164540056289,6.62127993333767,3542.63419652541,0
"Rdh10",-8.56909759201623,3.67862007239206,670.373802343869,8.28541980881745e-148
"Stau2",-6.87465123178212,7.1422944641842,2837.24844689687,0
"Ube2w",-7.51004119805363,5.89576226647933,3442.00330071466,0
"Eloc",-7.03393308247683,6.78967900041453,2988.26792889187,0
"Tmem70",-7.77546717148548,5.38430733727465,2599.71027242197,0
"Ly96",-15.0179196887568,-0.40012890083827,868.74328455041,6.12052273083895e-191
"Jph1",-8.05412113422117,4.91054916708899,1503.9763610573,0
"Gm46085",-11.1847482707392,0.267060748971631,557.60522136633,2.78975388194156e-123
"Gdap1",-6.95786212245646,6.95724608998162,3446.18843287371,0
"Gm28784",-11.7226301367049,-1.24846020345833,153.554983720749,2.89723297344755e-35
"Pi15",-11.6829434554255,-1.44495664030143,119.091440017268,1.00011282183807e-27
"Gm28154",-11.8493925749168,-1.00089581019785,273.31700035746,2.14782803662522e-61
"Crispld1",-9.03407452261469,2.77874049591259,390.469228964345,6.54222842016253e-87
"Gm15825",-11.3756087490236,-0.638652318376607,187.71738681407,1.00136328211521e-42
"Tfap2d",-8.48760954435513,4.3794828755379,72.5584149079208,1.62160305365902e-17
"Tfap2b",-10.2748549932518,-0.233418413350419,31.2089161838531,2.31699433571013e-08
"Mcm3",-9.4431781652587,2.76028756634442,1604.66838713757,0
"6720483E21Rik",-18.389470132234,-0.951370122848412,1474.45190489321,1.38338380835549e-322
"Paqr8",-6.87571063562609,7.01279238238776,838.07914978502,2.83926417750535e-184
"Efhc1",-16.7854060552489,0.039282658723142,1492.3172061107,0
"Tram2",-11.3499762548886,-0.859626190443223,195.25735131069,2.26383525966773e-44
"Tmem14a",-8.19834857249911,4.61610172128559,1519.61251773709,0
"Gm28836",-16.8519233781342,-1.61401549346662,287.263202261538,1.96286018924711e-64
"Gsta3",-10.7374953627527,0.622228493528858,542.46568710162,5.48314490275552e-120
"Gm7094",-9.74271379783083,1.80492850937514,433.10117108031,3.4349782979537e-96
"Kcnq5",-6.89371101495767,6.8691297784769,313.732860524668,3.35785221402144e-70
"LOC118567719",-10.6882743726458,-0.0159186840504428,217.546847896669,3.10093010071858e-49
"Rims1",-6.59506618656872,7.7518195310806,1707.98199352637,0
"LOC118567721",-9.41826104471143,2.21123789301366,541.153850734041,1.05782836362648e-119
