"","logFC","logCPM","LR","PValue"
"Gm28154",-12.0197867854399,-1.00089581019785,313.105466476674,4.59970960018153e-70
"Crispld1",-9.20745024181586,2.77874049591259,446.075283713584,5.15526118410695e-99
"Gm15825",-11.223005835174,-0.638652318376607,159.640697780234,1.35566404721537e-36
"Tfap2d",-7.77479176225928,4.3794828755379,39.3900952718851,3.47052896872388e-10
"Tfap2b",-10.2805991241061,-0.233418413350419,35.5540164765187,2.48075008502061e-09
"Mcm3",-9.49128422500255,2.76028756634442,1632.18482375063,0
"6720483E21Rik",-18.4460675317333,-0.951370122848412,1463.92511902803,2.70155095145994e-320
"Paqr8",-6.876363513014,7.01279238238776,838.771614647054,2.00752078170331e-184
"Efhc1",-16.8306452024978,0.039282658723142,1539.18755374716,0
"Tram2",-11.2889313890245,-0.859626190443223,168.983722966542,1.23348915570868e-38
"Tmem14a",-8.30028145860404,4.61610172128559,1600.44903199637,0
"Gm28836",-17.261644561774,-1.61401549346662,320.650791484812,1.04506958541129e-71
"Gsta3",-10.7809035493372,0.622228493528858,550.674417493726,8.98001535013745e-122
"Gm7094",-9.77659324538254,1.80492850937514,446.098371423509,5.09596048485955e-99
"Kcnq5",-7.22710719317808,6.8691297784769,372.710644632673,4.80848748568737e-83
"LOC118567719",-11.0703632085654,-0.0159186840504428,322.326743418664,4.50912000266678e-72
"Rims1",-6.56410547500321,7.7518195310806,1676.062741551,0
"LOC118567721",-9.5360166383324,2.21123789301366,587.582830057463,8.40773730321934e-130
"Ogfrl1",-7.07993335714337,6.8150890870363,2282.3841745272,0
"B3gat2",-9.0508570951849,3.29614954864434,1332.32652861696,1.06728309442813e-291
"Smap1",-7.22871279009265,6.21986573175664,994.590617681391,2.69199229310796e-218
"Sdhaf4",-8.62906334395087,4.0395714087406,2486.82908783678,0
"Fam135a",-7.59440757733026,5.57562287182636,1184.83955039899,1.20255563577941e-259
"Col9a1",-11.0683813685944,-0.255074490606504,319.008980733694,2.38104565463584e-71
"Col19a1",-8.0860447895558,4.55533113657632,567.53060149833,1.93410147077803e-125
"Lmbrd1",-6.66832773896567,7.55746969266589,3547.93758800913,0
"Adgrb3",-7.04307166406235,6.89995196767366,2280.50027713886,0
"Gm9884",-12.8803850657578,-0.156739036884238,866.034504341188,2.37503077689852e-190
"Gm31465",-11.1435871919538,0.186418247510423,590.251965812276,2.20852749576456e-130
"Gm31525",-13.1213290708635,-1.62982239665202,192.071560717906,1.12244907778985e-43
"Gm39615",-18.1022271914301,-1.25787892507005,742.204041247918,1.98854507782926e-163
"Phf3",-7.06624104322297,6.77256280662194,3694.13232098297,0
"Ptp4a1",-7.81799251341728,5.29050666596404,1973.21714331705,0
"Khdrbs2",-8.50678988528107,4.1546518846597,398.168310679274,1.37934419346753e-88
